Student_ID,Name,Section,Parental_Education,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Internet_Access,Extra_Classes,Math_Marks,Science_Marks,English_Marks,Hindi_Marks,SST_Marks,Final_Score,Result,Grade
4577,Arjun Narayan Mishra_4577,C,Postgraduate,4.24,3.98,89.32,Yes,Yes,40.52,59.05,72.71,48.86,51.35,54.5,Pass,B
4578,Anjali Deep Tiwari_4578,C,School,5.67,6.48,73.87,No,No,48.24,75.09,75.8,77.14,37.54,62.76,Pass,A
4579,Vikas Mohan Pandey_4579,C,Graduate,4.01,7.47,55.67,Yes,No,73.86,56.45,48.48,78.59,46.51,60.78,Pass,A
4580,Neha Shiv Chauhan_4580,C,School,3.83,6.86,81.22,Yes,Yes,48.29,54.62,81.85,57.29,52.19,58.85,Pass,B
4581,Rohit Kumar Sharma_4581,A,School,5.81,6.33,65.93,Yes,No,86.73,63.47,62.7,84.91,70.86,73.73,Pass,A
4582,Pooja Singh Verma_4582,C,Graduate,6.24,5.24,89.0,Yes,No,71.65,72.54,62.45,76.52,41.21,64.87,Pass,A
4583,Karan Raj Yadav_4583,B,Postgraduate,4.56,4.35,100.0,Yes,Yes,49.0,63.35,85.84,62.49,82.98,68.73,Pass,A
4584,Simran Dev Gupta_4584,C,Graduate,6.99,5.56,91.0,Yes,Yes,79.23,44.05,56.98,64.92,64.87,62.01,Pass,A
4585,Amit Prasad Singh_4585,A,School,4.75,7.75,71.77,Yes,Yes,63.85,46.9,85.69,70.2,86.13,70.56,Pass,A
4586,Rahul Kant Kumar_4586,B,Graduate,5.81,6.43,76.72,Yes,No,83.49,69.92,75.44,82.73,47.05,71.73,Pass,A
4587,Priya Narayan Mishra_4587,C,Graduate,7.43,7.33,73.57,No,No,66.52,44.25,83.88,44.18,61.94,60.16,Pass,A
4588,Sneha Deep Tiwari_4588,C,Graduate,3.56,8.22,61.53,Yes,No,75.89,54.99,58.21,56.26,62.54,61.58,Pass,A
4589,Arjun Mohan Pandey_4589,C,Graduate,3.72,6.65,67.05,Yes,Yes,73.79,76.01,81.23,72.9,89.21,78.63,Pass,A
4590,Anjali Shiv Chauhan_4590,B,School,5.7,7.51,72.72,Yes,No,60.36,62.9,75.11,80.85,75.49,70.94,Pass,A
4591,Vikas Kumar Sharma_4591,B,Graduate,4.26,7.86,71.66,Yes,No,60.86,57.87,69.42,75.27,41.77,61.04,Pass,A
4592,Neha Singh Verma_4592,A,Graduate,3.09,4.82,56.63,Yes,Yes,71.39,36.99,59.48,62.63,70.97,60.29,Pass,A
4593,Rohit Raj Yadav_4593,B,School,3.98,5.59,75.68,Yes,No,70.55,31.69,68.92,64.21,55.12,58.1,Pass,B
4594,Pooja Dev Gupta_4594,B,Graduate,2.38,4.48,74.12,Yes,No,83.59,67.13,48.26,76.95,63.2,67.83,Pass,A
4595,Karan Prasad Singh_4595,C,School,4.54,4.32,41.2,Yes,Yes,77.0,61.16,57.48,77.77,58.81,66.44,Pass,A
4596,Simran Kant Kumar_4596,B,School,4.74,5.9,73.14,Yes,No,71.7,36.1,69.59,80.88,81.13,67.88,Pass,A
4597,Amit Narayan Mishra_4597,C,PhD,6.13,6.19,40.0,No,No,40.92,77.84,63.99,59.17,48.3,58.04,Pass,B
4598,Rahul Deep Tiwari_4598,C,School,6.27,4.25,59.73,Yes,Yes,78.25,38.08,79.56,57.62,61.25,62.95,Pass,A
4599,Priya Mohan Pandey_4599,B,School,4.02,7.05,57.25,Yes,No,67.52,46.53,70.97,97.59,55.98,67.72,Pass,A
4600,Sneha Shiv Chauhan_4600,A,Graduate,7.66,5.92,71.52,No,No,57.98,50.41,76.59,63.97,45.19,58.83,Pass,B
4601,Arjun Kumar Sharma_4601,A,PhD,2.89,8.22,64.77,Yes,No,63.74,86.71,86.37,69.25,76.52,76.52,Pass,A
4602,Anjali Singh Verma_4602,B,PhD,2.4,6.72,69.94,Yes,No,26.52,68.35,87.8,60.96,56.15,59.96,Pass,B
4603,Vikas Raj Yadav_4603,A,Graduate,2.64,6.71,100.0,Yes,No,87.48,63.38,80.01,63.39,50.87,69.03,Pass,A
4604,Neha Dev Gupta_4604,C,School,2.74,6.25,60.49,Yes,Yes,70.38,47.89,65.48,47.74,82.15,62.73,Pass,A
4605,Rohit Prasad Singh_4605,C,Postgraduate,5.64,6.36,91.49,Yes,Yes,91.86,46.91,88.73,67.89,64.08,71.89,Pass,A
4606,Pooja Kant Kumar_4606,B,Graduate,7.02,6.94,83.98,Yes,No,100.0,42.06,25.37,62.4,47.62,55.49,Pass,B
4607,Karan Narayan Mishra_4607,A,School,7.08,7.59,80.73,No,Yes,24.96,92.99,65.78,73.09,70.78,65.52,Pass,A
4608,Simran Deep Tiwari_4608,A,Postgraduate,1.67,4.9,93.48,Yes,Yes,54.63,41.96,87.15,62.25,38.33,56.86,Pass,B
4609,Amit Mohan Pandey_4609,C,School,5.79,5.5,68.17,Yes,Yes,61.14,38.51,56.7,49.63,72.1,55.62,Pass,B
4610,Rahul Shiv Chauhan_4610,B,School,6.79,6.85,72.76,Yes,Yes,66.0,53.73,86.69,57.48,48.38,62.46,Pass,A
4611,Priya Kumar Sharma_4611,A,Postgraduate,6.0,6.45,62.3,Yes,No,50.86,92.2,69.21,84.15,75.65,74.41,Pass,A
4612,Sneha Singh Verma_4612,B,Graduate,3.55,7.45,40.0,Yes,No,82.03,62.27,61.45,56.02,74.7,67.29,Pass,A
4613,Arjun Raj Yadav_4613,A,School,4.75,5.69,76.57,Yes,Yes,85.74,52.47,78.75,87.09,63.16,73.44,Pass,A
4614,Anjali Dev Gupta_4614,C,School,3.07,8.02,100.0,Yes,Yes,41.87,42.22,85.12,73.08,66.94,61.85,Pass,A
4615,Vikas Prasad Singh_4615,C,Graduate,5.62,5.88,54.25,Yes,No,76.47,75.13,80.38,68.76,67.06,73.56,Pass,A
4616,Neha Kant Kumar_4616,B,School,2.3,6.12,55.74,Yes,Yes,46.75,82.68,70.66,81.08,79.82,72.2,Pass,A
4617,Rohit Narayan Mishra_4617,C,School,5.53,7.81,79.5,Yes,No,70.24,40.12,43.06,68.94,83.18,61.11,Pass,A
4618,Pooja Deep Tiwari_4618,A,Graduate,3.43,7.19,71.61,No,No,51.94,49.73,66.43,85.35,54.69,61.63,Pass,A
4619,Karan Mohan Pandey_4619,C,Postgraduate,5.04,8.88,97.53,No,No,79.74,46.81,88.3,70.07,71.97,71.38,Pass,A
4620,Simran Shiv Chauhan_4620,B,Graduate,4.12,7.64,67.34,Yes,Yes,81.05,48.91,61.51,78.14,60.62,66.05,Pass,A
4621,Amit Kumar Sharma_4621,B,Postgraduate,3.96,8.05,97.98,Yes,Yes,66.43,60.76,83.74,67.78,62.51,68.24,Pass,A
4622,Rahul Singh Verma_4622,B,Postgraduate,5.92,6.14,81.67,Yes,No,88.17,44.57,53.24,80.17,60.14,65.26,Pass,A
4623,Priya Raj Yadav_4623,A,Graduate,6.79,8.06,91.96,Yes,No,59.36,56.49,85.09,100.0,60.19,72.23,Pass,A
4624,Sneha Dev Gupta_4624,A,School,3.2,6.58,62.95,Yes,No,72.72,46.61,47.24,48.37,66.99,56.39,Pass,B
4625,Arjun Prasad Singh_4625,A,Postgraduate,4.78,3.84,71.66,Yes,No,72.08,52.01,61.79,71.9,55.44,62.64,Pass,A
4626,Anjali Kant Kumar_4626,A,Graduate,2.87,7.07,77.44,Yes,No,63.19,62.47,62.63,68.1,50.78,61.43,Pass,A
4627,Vikas Narayan Mishra_4627,A,School,3.81,7.17,80.29,Yes,Yes,75.24,70.55,49.47,51.63,58.2,61.02,Pass,A
4628,Neha Deep Tiwari_4628,C,School,3.41,5.19,64.07,Yes,No,77.19,63.95,73.58,68.34,52.04,67.02,Pass,A
4629,Rohit Mohan Pandey_4629,A,Postgraduate,2.61,6.93,67.46,No,Yes,55.83,63.16,66.78,40.26,77.36,60.68,Pass,A
4630,Pooja Shiv Chauhan_4630,A,School,6.09,6.64,98.11,Yes,Yes,69.97,100.0,64.51,54.18,71.96,72.12,Pass,A
4631,Karan Kumar Sharma_4631,C,School,4.66,7.96,88.54,Yes,No,63.89,64.64,50.62,100.0,88.1,73.45,Pass,A
4632,Simran Singh Verma_4632,A,Graduate,3.68,7.03,56.55,Yes,No,67.41,85.5,58.78,48.38,71.88,66.39,Pass,A
4633,Amit Raj Yadav_4633,B,Postgraduate,4.41,6.5,78.96,Yes,No,88.59,65.36,50.6,72.9,77.78,71.05,Pass,A
4634,Rahul Dev Gupta_4634,A,Graduate,6.29,4.9,93.13,No,No,49.52,49.34,84.7,50.11,57.04,58.14,Pass,B
4635,Priya Prasad Singh_4635,A,School,6.04,4.14,64.01,Yes,Yes,83.44,82.37,52.59,62.96,55.95,67.46,Pass,A
4636,Sneha Kant Kumar_4636,B,School,5.34,8.02,82.93,No,No,58.54,80.41,75.02,49.08,59.53,64.52,Pass,A
4637,Arjun Narayan Mishra_4637,B,Graduate,3.5,6.97,83.56,Yes,Yes,58.67,66.15,79.22,74.23,72.94,70.24,Pass,A
4638,Anjali Deep Tiwari_4638,B,School,4.68,6.21,49.66,No,Yes,58.89,68.89,47.73,68.31,49.85,58.73,Pass,B
4639,Vikas Mohan Pandey_4639,B,Graduate,2.86,7.17,63.36,No,No,63.69,56.07,66.41,75.57,69.59,66.27,Pass,A
4640,Neha Shiv Chauhan_4640,A,School,4.37,6.22,67.09,Yes,Yes,66.22,73.69,58.5,43.44,83.92,65.15,Pass,A
4641,Rohit Kumar Sharma_4641,B,Postgraduate,5.97,4.1,75.0,No,Yes,54.6,65.14,64.13,77.53,70.72,66.42,Pass,A
4642,Pooja Singh Verma_4642,B,Graduate,6.24,7.72,66.76,Yes,No,31.3,60.66,56.4,32.21,39.2,43.96,Pass,C
4643,Karan Raj Yadav_4643,C,School,3.54,7.87,80.89,Yes,Yes,71.45,31.86,89.83,76.15,64.06,66.67,Pass,A
4644,Simran Dev Gupta_4644,B,Postgraduate,5.75,6.11,70.2,No,Yes,60.56,92.69,44.46,74.87,56.23,65.76,Pass,A
4645,Amit Prasad Singh_4645,B,School,5.44,6.45,51.61,Yes,No,48.58,90.47,66.88,76.54,64.85,69.46,Pass,A
4646,Rahul Kant Kumar_4646,C,School,4.14,5.76,40.0,Yes,No,62.22,55.81,76.49,55.8,70.06,64.08,Pass,A
4647,Priya Narayan Mishra_4647,C,Postgraduate,5.62,8.71,66.93,Yes,Yes,63.36,51.65,91.3,66.02,79.41,70.35,Pass,A
4648,Sneha Deep Tiwari_4648,A,School,6.34,7.94,77.32,Yes,No,98.89,57.51,61.68,91.19,91.85,80.23,Pass,A+
4649,Arjun Mohan Pandey_4649,C,Graduate,5.78,5.53,74.93,Yes,No,73.84,59.32,82.37,72.26,73.78,72.32,Pass,A
4650,Anjali Shiv Chauhan_4650,A,School,2.92,7.23,58.74,Yes,Yes,79.81,75.52,73.97,74.36,66.66,74.06,Pass,A
4651,Vikas Kumar Sharma_4651,C,School,4.08,5.45,87.5,Yes,No,67.71,19.68,92.78,47.47,67.05,58.94,Pass,B
4652,Neha Singh Verma_4652,C,School,5.1,5.52,69.02,Yes,Yes,67.29,65.48,68.58,42.24,54.08,59.54,Pass,B
4653,Rohit Raj Yadav_4653,A,Graduate,3.29,5.97,87.77,No,No,69.89,31.73,78.45,69.65,76.57,65.26,Pass,A
4654,Pooja Dev Gupta_4654,C,Graduate,6.84,5.77,88.35,Yes,No,46.3,34.41,78.71,35.19,79.81,54.88,Pass,B
4655,Karan Prasad Singh_4655,A,School,4.97,4.63,87.3,Yes,No,57.81,69.09,74.28,55.43,70.97,65.51,Pass,A
4656,Simran Kant Kumar_4656,C,School,3.82,8.09,84.59,Yes,Yes,55.45,60.06,57.34,84.0,73.12,65.99,Pass,A
4657,Amit Narayan Mishra_4657,B,Postgraduate,3.73,6.75,57.16,Yes,Yes,55.15,69.57,57.21,60.34,47.19,57.89,Pass,B
4658,Rahul Deep Tiwari_4658,C,PhD,3.46,8.36,71.96,Yes,Yes,46.72,38.75,63.03,84.53,56.4,57.88,Pass,B
4659,Priya Mohan Pandey_4659,A,Graduate,5.56,6.3,97.37,Yes,Yes,55.05,30.42,74.91,61.58,60.92,56.58,Pass,B
4660,Sneha Shiv Chauhan_4660,C,Postgraduate,5.74,4.74,71.29,Yes,Yes,80.68,67.2,65.17,72.19,64.26,69.9,Pass,A
4661,Arjun Kumar Sharma_4661,A,Graduate,3.5,7.73,51.9,Yes,Yes,40.29,30.98,54.49,34.8,35.81,39.27,Pass,C
4662,Anjali Singh Verma_4662,A,School,6.7,6.81,85.74,No,Yes,73.88,27.65,72.97,78.5,71.07,64.81,Pass,A
4663,Vikas Raj Yadav_4663,B,School,3.92,6.18,83.06,Yes,No,98.07,58.36,67.91,79.18,88.03,78.31,Pass,A
4664,Neha Dev Gupta_4664,B,School,3.3,7.95,73.35,Yes,Yes,97.43,31.69,51.82,67.33,63.12,62.28,Pass,A
4665,Rohit Prasad Singh_4665,A,Postgraduate,5.22,4.89,70.71,Yes,No,64.13,50.46,66.78,66.22,73.69,64.26,Pass,A
4666,Pooja Kant Kumar_4666,C,Graduate,2.7,7.68,78.47,Yes,Yes,67.92,49.78,64.54,58.36,81.5,64.42,Pass,A
4667,Karan Narayan Mishra_4667,A,Graduate,2.45,7.36,86.28,Yes,No,88.89,63.5,77.44,73.67,45.86,69.87,Pass,A
4668,Simran Deep Tiwari_4668,A,School,3.07,6.78,76.19,Yes,Yes,52.4,64.69,49.36,83.78,54.21,60.89,Pass,A
4669,Amit Mohan Pandey_4669,C,Graduate,3.32,4.73,83.71,Yes,Yes,88.61,92.67,70.96,64.69,72.22,77.83,Pass,A
4670,Rahul Shiv Chauhan_4670,C,Postgraduate,5.62,7.63,100.0,Yes,Yes,64.4,37.02,72.45,57.02,74.09,61.0,Pass,A
4671,Priya Kumar Sharma_4671,C,Postgraduate,2.56,7.39,70.94,No,Yes,90.39,22.63,55.33,66.42,58.12,58.58,Pass,B
4672,Sneha Singh Verma_4672,C,School,5.05,6.82,100.0,Yes,Yes,53.09,18.8,82.49,39.06,55.77,49.84,Pass,C
4673,Arjun Raj Yadav_4673,A,Graduate,5.76,6.43,100.0,Yes,No,74.84,66.78,74.28,48.63,56.46,64.2,Pass,A
4674,Anjali Dev Gupta_4674,A,School,6.67,5.15,67.9,Yes,Yes,83.61,70.23,62.46,77.48,77.8,74.32,Pass,A
4675,Vikas Prasad Singh_4675,B,Graduate,3.76,5.16,100.0,Yes,No,66.17,68.99,65.89,48.63,47.23,59.39,Pass,B
4676,Neha Kant Kumar_4676,A,Graduate,3.88,5.57,66.99,Yes,Yes,43.47,82.38,64.16,78.55,81.59,70.03,Pass,A
4677,Rohit Narayan Mishra_4677,C,School,7.55,4.61,100.0,No,No,79.38,39.31,68.83,68.5,82.66,67.73,Pass,A
4678,Pooja Deep Tiwari_4678,B,Postgraduate,6.53,4.65,71.15,Yes,No,75.24,50.96,85.9,53.06,35.59,60.15,Pass,A
4679,Karan Mohan Pandey_4679,C,School,4.09,5.97,82.72,Yes,Yes,53.99,39.27,50.39,32.1,59.36,47.02,Pass,C
4680,Simran Shiv Chauhan_4680,A,Postgraduate,6.22,4.9,82.43,Yes,Yes,69.98,11.14,66.29,63.45,36.72,49.51,Pass,C
4681,Amit Kumar Sharma_4681,B,School,4.87,6.22,69.26,Yes,No,65.19,65.91,57.91,67.9,61.46,63.67,Pass,A
4682,Rahul Singh Verma_4682,C,Graduate,4.52,6.58,81.74,Yes,No,52.93,70.98,73.97,100.0,77.68,75.11,Pass,A
4683,Priya Raj Yadav_4683,B,Postgraduate,8.22,4.76,92.41,Yes,No,50.41,46.88,71.92,74.28,85.18,65.74,Pass,A
4684,Sneha Dev Gupta_4684,B,School,6.11,7.49,76.28,Yes,Yes,41.15,48.64,87.1,69.14,72.72,63.75,Pass,A
4685,Arjun Prasad Singh_4685,A,Graduate,7.33,7.71,78.93,No,No,77.05,56.37,69.76,78.21,54.36,67.15,Pass,A
4686,Anjali Kant Kumar_4686,C,Graduate,2.91,3.88,87.17,Yes,Yes,56.44,65.08,84.61,73.77,59.66,67.91,Pass,A
4687,Vikas Narayan Mishra_4687,B,School,7.2,8.12,58.34,Yes,Yes,73.39,55.38,77.24,95.36,77.74,75.82,Pass,A
4688,Neha Deep Tiwari_4688,B,Graduate,4.27,7.17,76.26,Yes,No,80.17,51.23,68.57,67.64,55.56,64.63,Pass,A
4689,Rohit Mohan Pandey_4689,C,Graduate,4.25,6.61,93.87,Yes,No,52.52,80.04,74.9,84.16,80.77,74.48,Pass,A
4690,Pooja Shiv Chauhan_4690,B,Postgraduate,5.08,8.25,70.83,Yes,No,63.64,62.9,57.77,69.94,71.2,65.09,Pass,A
4691,Karan Kumar Sharma_4691,B,Postgraduate,5.27,6.63,83.99,Yes,No,47.01,79.82,79.22,73.17,78.24,71.49,Pass,A
4692,Simran Singh Verma_4692,B,Graduate,6.08,5.56,50.15,Yes,No,77.83,72.82,66.44,71.18,71.27,71.91,Pass,A
4693,Amit Raj Yadav_4693,C,Graduate,5.83,4.71,76.56,Yes,Yes,42.69,38.58,64.25,46.14,39.96,46.32,Pass,C
4694,Rahul Dev Gupta_4694,C,Postgraduate,3.52,6.36,72.9,No,Yes,68.98,88.25,64.99,82.47,53.28,71.59,Pass,A
4695,Priya Prasad Singh_4695,C,Graduate,3.01,6.35,75.76,No,No,59.95,50.08,76.32,56.84,50.62,58.76,Pass,B
4696,Sneha Kant Kumar_4696,C,School,4.21,4.46,72.49,Yes,Yes,77.65,62.51,62.75,81.68,44.91,65.9,Pass,A
4697,Arjun Narayan Mishra_4697,A,Graduate,4.48,6.07,93.55,Yes,No,63.97,68.38,58.48,57.43,59.75,61.6,Pass,A
4698,Anjali Deep Tiwari_4698,B,Postgraduate,4.63,8.34,61.39,Yes,Yes,94.75,46.56,61.76,60.49,59.62,64.64,Pass,A
4699,Vikas Mohan Pandey_4699,C,Graduate,6.55,7.11,69.75,Yes,No,63.47,59.88,50.54,56.48,91.03,64.28,Pass,A
4700,Neha Shiv Chauhan_4700,B,Graduate,4.78,4.88,63.26,Yes,Yes,67.33,78.73,62.77,45.59,86.73,68.23,Pass,A
4701,Rohit Kumar Sharma_4701,B,School,8.46,6.87,55.18,Yes,No,77.51,71.14,58.47,76.08,58.47,68.34,Pass,A
4702,Pooja Singh Verma_4702,A,PhD,6.67,7.34,73.97,Yes,No,72.38,45.59,75.68,64.75,75.49,66.78,Pass,A
4703,Karan Raj Yadav_4703,C,Graduate,4.05,7.74,60.88,Yes,No,53.19,42.59,64.81,62.39,61.81,56.96,Pass,B
4704,Simran Dev Gupta_4704,C,Graduate,1.84,7.2,78.69,Yes,Yes,69.59,55.55,70.46,73.29,62.2,66.22,Pass,A
4705,Amit Prasad Singh_4705,B,School,8.08,7.89,79.08,Yes,Yes,56.59,67.98,40.75,68.43,54.82,57.71,Pass,B
4706,Rahul Kant Kumar_4706,C,School,4.08,7.41,77.37,Yes,No,91.81,67.98,68.0,64.57,78.85,74.24,Pass,A
4707,Priya Narayan Mishra_4707,B,Postgraduate,5.89,6.21,83.67,Yes,No,32.74,70.5,67.47,51.77,54.53,55.4,Pass,B
4708,Sneha Deep Tiwari_4708,B,PhD,3.5,6.9,40.0,Yes,No,83.83,65.93,78.24,77.4,75.93,76.27,Pass,A
4709,Arjun Mohan Pandey_4709,A,School,6.9,6.23,97.43,Yes,No,64.1,25.79,81.18,87.51,72.47,66.21,Pass,A
4710,Anjali Shiv Chauhan_4710,A,School,5.77,6.98,74.1,Yes,No,45.63,48.13,47.1,56.03,69.05,53.19,Pass,B
4711,Vikas Kumar Sharma_4711,A,School,2.87,7.38,85.29,No,Yes,45.16,47.46,100.0,44.49,76.71,62.77,Pass,A
4712,Neha Singh Verma_4712,B,School,1.57,6.41,60.01,No,No,67.06,88.76,67.95,65.27,79.85,73.78,Pass,A
4713,Rohit Raj Yadav_4713,C,School,4.78,6.86,55.88,Yes,No,47.23,90.92,65.37,68.94,61.78,66.85,Pass,A
4714,Pooja Dev Gupta_4714,A,Postgraduate,5.25,5.92,82.64,No,Yes,72.11,52.4,55.69,76.41,43.62,60.05,Pass,A
4715,Karan Prasad Singh_4715,C,Postgraduate,5.64,6.13,85.87,Yes,Yes,59.09,83.15,81.8,85.38,59.62,73.81,Pass,A
4716,Simran Kant Kumar_4716,A,School,3.33,6.42,56.58,Yes,Yes,70.1,56.61,61.27,56.26,60.46,60.94,Pass,A
4717,Amit Narayan Mishra_4717,A,Graduate,3.53,5.83,83.96,Yes,No,42.71,64.23,89.73,88.79,60.1,69.11,Pass,A
4718,Rahul Deep Tiwari_4718,B,School,1.67,8.09,85.51,Yes,Yes,28.53,61.94,67.15,80.35,68.94,61.38,Pass,A
4719,Priya Mohan Pandey_4719,A,School,3.67,7.22,84.43,Yes,Yes,44.5,96.99,67.86,63.21,76.83,69.88,Pass,A
4720,Sneha Shiv Chauhan_4720,A,School,2.05,7.39,77.29,Yes,Yes,90.19,69.1,94.72,72.68,62.03,77.75,Pass,A
4721,Arjun Kumar Sharma_4721,B,Graduate,3.43,7.17,79.66,Yes,No,82.92,53.42,69.13,67.16,63.18,67.16,Pass,A
4722,Anjali Singh Verma_4722,C,School,4.99,6.7,100.0,Yes,Yes,75.55,100.0,58.81,58.06,63.74,71.23,Pass,A
4723,Vikas Raj Yadav_4723,A,Graduate,4.97,5.04,66.29,Yes,Yes,77.99,58.57,69.07,74.92,50.36,66.18,Pass,A
4724,Neha Dev Gupta_4724,B,School,3.49,7.85,88.14,Yes,Yes,71.52,66.46,76.82,59.28,40.05,62.83,Pass,A
4725,Rohit Prasad Singh_4725,A,School,4.91,9.0,81.32,Yes,Yes,99.02,52.55,69.05,61.89,79.77,72.46,Pass,A
4726,Pooja Kant Kumar_4726,B,School,6.72,7.29,54.42,No,Yes,59.8,47.7,65.48,72.72,65.65,62.27,Pass,A
4727,Karan Narayan Mishra_4727,C,Postgraduate,4.08,5.56,53.63,Yes,No,75.61,60.54,90.3,83.78,94.86,81.02,Pass,A+
4728,Simran Deep Tiwari_4728,C,Graduate,2.58,7.21,77.52,Yes,No,59.28,61.39,67.27,53.86,46.4,57.64,Pass,B
4729,Amit Mohan Pandey_4729,B,Postgraduate,5.68,5.54,51.01,Yes,Yes,71.87,65.97,75.19,59.88,88.47,72.28,Pass,A
4730,Rahul Shiv Chauhan_4730,B,School,6.14,5.93,40.0,Yes,Yes,86.4,0.0,52.71,52.15,35.37,45.33,Pass,C
4731,Priya Kumar Sharma_4731,B,School,3.46,3.6,100.0,Yes,No,56.31,52.95,74.86,59.15,41.27,56.91,Pass,B
4732,Sneha Singh Verma_4732,C,School,3.47,8.14,60.5,Yes,No,37.88,57.66,56.31,65.26,61.29,55.68,Pass,B
4733,Arjun Raj Yadav_4733,A,School,1.53,6.88,88.79,No,Yes,57.18,63.01,83.72,59.68,68.1,66.34,Pass,A
4734,Anjali Dev Gupta_4734,C,Graduate,3.81,7.19,78.51,No,Yes,39.82,72.98,70.84,59.17,69.31,62.42,Pass,A
4735,Vikas Prasad Singh_4735,B,School,3.12,7.45,100.0,Yes,No,67.89,20.08,48.45,55.01,57.29,49.75,Pass,C
4736,Neha Kant Kumar_4736,B,School,2.22,7.07,100.0,Yes,Yes,62.98,55.67,66.21,82.11,57.97,64.99,Pass,A
4737,Rohit Narayan Mishra_4737,C,Graduate,3.95,7.67,83.42,Yes,No,41.62,65.73,100.0,69.63,89.08,73.21,Pass,A
4738,Pooja Deep Tiwari_4738,B,Graduate,4.49,8.14,53.72,Yes,No,23.36,96.02,85.73,91.72,55.33,70.43,Pass,A
4739,Karan Mohan Pandey_4739,C,PhD,4.22,6.46,98.01,No,No,65.33,63.43,71.77,60.33,58.36,63.84,Pass,A
4740,Simran Shiv Chauhan_4740,B,School,4.01,4.51,56.37,Yes,No,100.0,81.01,59.71,78.79,44.36,72.78,Pass,A
4741,Amit Kumar Sharma_4741,A,Graduate,6.79,5.49,91.08,Yes,No,61.17,34.54,78.27,86.69,52.44,62.62,Pass,A
4742,Rahul Singh Verma_4742,A,School,4.96,7.24,60.15,Yes,Yes,56.03,61.84,74.18,54.81,38.92,57.16,Pass,B
4743,Priya Raj Yadav_4743,B,PhD,5.48,5.27,67.52,Yes,Yes,43.44,69.06,67.33,99.67,59.83,67.87,Pass,A
4744,Sneha Dev Gupta_4744,C,Graduate,7.22,6.42,100.0,Yes,Yes,75.73,46.29,52.47,54.2,53.34,56.41,Pass,B
4745,Arjun Prasad Singh_4745,A,Graduate,5.98,9.0,78.69,Yes,Yes,51.17,74.98,70.52,79.32,60.06,67.21,Pass,A
4746,Anjali Kant Kumar_4746,C,School,4.09,7.75,63.28,Yes,No,46.2,39.18,63.09,50.54,56.5,51.1,Pass,B
4747,Vikas Narayan Mishra_4747,B,Graduate,1.72,4.09,71.73,Yes,Yes,83.16,32.51,75.05,70.01,68.29,65.8,Pass,A
4748,Neha Deep Tiwari_4748,C,School,3.94,9.0,78.58,Yes,Yes,55.43,68.99,61.05,73.62,51.08,62.04,Pass,A
4749,Rohit Mohan Pandey_4749,A,Graduate,6.68,8.14,62.2,Yes,No,66.95,87.87,73.77,69.02,68.28,73.18,Pass,A
4750,Pooja Shiv Chauhan_4750,C,Postgraduate,5.97,7.3,84.78,Yes,No,74.71,75.97,98.05,96.73,47.23,78.54,Pass,A
4751,Karan Kumar Sharma_4751,C,PhD,3.95,6.66,62.78,Yes,No,41.73,60.75,98.46,59.87,83.09,68.78,Pass,A
4752,Simran Singh Verma_4752,B,Graduate,4.38,4.84,42.88,Yes,Yes,52.76,53.8,74.84,68.55,90.86,68.16,Pass,A
4753,Amit Raj Yadav_4753,B,Postgraduate,4.69,6.05,71.73,Yes,No,93.24,52.98,89.94,69.65,70.61,75.29,Pass,A
4754,Rahul Dev Gupta_4754,B,School,3.58,4.12,65.9,Yes,No,53.58,64.95,64.87,56.55,56.8,59.35,Pass,B
4755,Priya Prasad Singh_4755,A,Postgraduate,3.67,7.64,77.18,Yes,Yes,56.34,32.05,58.46,77.24,54.11,55.64,Pass,B
4756,Sneha Kant Kumar_4756,A,Graduate,3.53,6.72,72.0,Yes,Yes,59.09,45.22,85.1,100.0,43.6,66.6,Pass,A
4757,Arjun Narayan Mishra_4757,B,Graduate,5.24,5.61,87.99,Yes,No,81.56,83.06,59.08,64.18,47.68,67.12,Pass,A
4758,Anjali Deep Tiwari_4758,B,Postgraduate,2.92,7.71,85.75,No,No,90.25,72.17,85.31,75.71,73.88,79.47,Pass,A
4759,Vikas Mohan Pandey_4759,A,Postgraduate,6.66,6.9,44.86,Yes,No,68.49,59.95,53.68,44.76,86.53,62.68,Pass,A
4760,Neha Shiv Chauhan_4760,A,School,4.49,8.47,74.28,Yes,No,65.87,69.76,74.99,48.08,74.2,66.58,Pass,A
4761,Rohit Kumar Sharma_4761,A,Postgraduate,2.84,5.97,68.33,Yes,Yes,58.71,63.54,57.36,58.33,31.24,53.84,Pass,B
4762,Pooja Singh Verma_4762,A,School,6.04,8.17,70.41,Yes,Yes,77.66,92.45,61.73,52.26,70.85,70.99,Pass,A
4763,Karan Raj Yadav_4763,B,Postgraduate,6.75,6.77,48.12,Yes,Yes,58.01,38.88,83.39,68.19,57.66,61.23,Pass,A
4764,Simran Dev Gupta_4764,A,Graduate,9.21,5.57,40.0,Yes,Yes,62.78,49.89,86.97,69.31,65.17,66.82,Pass,A
4765,Amit Prasad Singh_4765,B,School,6.56,7.21,97.44,Yes,No,91.39,63.67,62.08,71.99,52.2,68.27,Pass,A
4766,Rahul Kant Kumar_4766,C,Graduate,3.19,6.59,71.45,No,No,67.63,76.9,83.86,74.85,41.36,68.92,Pass,A
